Wall time,Step,Value
1675073365.701012,100,-0.24400000274181366
1675073818.376824,400,-0.8560000061988831
1675073969.834532,500,-0.4869999885559082
1675074905.722022,1100,-0.19900000095367432
1675075064.056215,1200,-0.2980000078678131
1675075472.864193,1438,0.9629999995231628
1675075635.197688,1538,-0.32499998807907104
1675076089.365165,1838,-0.621999979019165
1675076245.774003,1938,-0.41499999165534973
1675077103.386873,2100,-0.19900000095367432
1675077409.980626,2300,-0.5139999985694885
1675077577.14909,2400,-0.19900000095367432
1675078052.913242,2700,-0.2980000078678131
1675078206.726623,2800,-0.4959999918937683
1675079101.635713,3341,-0.20800000429153442
1675079483.028504,3568,-0.22600001096725464
1675079631.248179,3668,-0.6489999890327454
1675079712.660968,3712,0.9570000171661377
1675079877.844455,3812,-0.22600001096725464
1675080008.429836,3912,-1.0269999504089355
1675081651.840622,4576,-0.5230000019073486
1675081805.837898,4676,-0.6039999723434448
1675081882.948853,4744,-0.45499998331069946
1675082120.724901,4876,0.968999981880188
1675082196.965979,4914,0.9629999995231628
1675082492.040879,5114,-0.6399999856948853
1675082954.885121,5414,-0.19900000095367432
1675083360.097252,5678,-0.4959999918937683
1675083499.911667,5778,-0.8289999961853027
1675083678.125373,5878,-0.19900000095367432
1675083841.546448,5978,-0.2529999911785126
1675084765.810538,6200,-0.20800000429153442
1675084841.161999,6237,0.9639999866485596
1675084912.187268,6264,0.9739999771118164
1675085073.269561,6364,-0.19900000095367432
1675085312.254453,6503,0.9620000123977661
1675085470.855526,6603,-0.24400000274181366
1675086313.782927,7159,0.9449999928474426
1675086622.552028,7359,-0.4959999918937683
1675086779.282677,7459,-0.2800000011920929
1675087011.398359,7602,-0.3790000081062317
1675087171.529931,7702,-0.20800000429153442
1675087332.821817,7846,0.9570000171661377
1675087486.439004,7946,-0.35199999809265137
1675088355.425242,8135,-0.19900000095367432
1675088504.290554,8209,-0.09200000017881393
1675089124.597237,8619,-0.289000004529953
1675089593.817878,8904,-0.3880000114440918
1675089754.021753,9004,-0.19900000095367432
1675090064.072083,9224,-0.029000001028180122
1675090497.796246,9524,-0.19900000095367432
1675090659.890763,9624,-0.19900000095367432
1675090981.006339,9824,-0.20800000429153442
1675092388.418912,10293,0.9539999961853027
1675092709.652638,10493,-0.19900000095367432
1675093231.487562,10850,0.9810000061988831
1675093760.014367,11187,-0.24400000274181366
1675093921.630565,11287,-0.20800000429153442
1675094204.227081,11487,-0.6579999923706055
1675094507.089188,11687,-0.19900000095367432
1675094667.961628,11787,-0.19900000095367432
1675094813.451136,11887,-0.5320000052452087
1675095877.37854,12185,-0.03500000014901161
1675096034.83141,12285,-0.2619999945163727
1675096726.441503,12745,0.9409999847412109
1675096879.228477,12845,-0.4059999883174896
1675097152.594442,13010,0.9359999895095825
1675097165.531557,13038,-0.03700000047683716
1675097551.733115,13256,0.9829999804496765
1675098414.197854,13830,0.968999981880188
1675098650.025777,13974,0.9570000171661377
1675099415.927434,14100,-0.9819999933242798
1675099651.286797,14238,-0.21700000762939453
1675099804.81743,14319,0.9589999914169312
1675099969.650804,14433,-0.289000004529953
1675100540.955103,14833,-0.5770000219345093
1675100695.541162,14933,-0.32499998807907104
1675100840.930758,15033,-0.5320000052452087
1675101312.848735,15315,-0.19900000095367432
1675101464.054511,15415,-0.4059999883174896
1675101474.843626,15437,0.9789999723434448
1675101631.162832,15537,-0.2980000078678131
1675101865.444137,15667,-0.19900000095367432
1675102024.683632,15767,-0.23499999940395355
1675103131.748655,16056,0.9449999928474426
1675103146.849451,16088,0.968999981880188
1675103222.056975,16125,0.9639999866485596
1675103690.16055,16425,-0.19900000095367432
1675103843.3994,16525,-0.35199999809265137
1675103993.4196,16625,-0.43299999833106995
1675104153.495027,16725,-0.19900000095367432
1675104633.71947,17025,-0.2619999945163727
1675105102.442546,17326,-0.5410000085830688
1675105255.368475,17426,-0.3700000047683716
1675105572.402312,17626,-0.2619999945163727
1675105732.664325,17726,-0.20800000429153442
1675105893.005496,17826,-0.19900000095367432
1675105966.309414,17859,0.9679999947547913
1675106130.911342,17999,0.9610000252723694
1675107030.020092,18135,-0.7389999628067017
1675107331.931335,18335,-0.23499999940395355
1675107638.732361,18535,-0.5230000019073486
1675107858.740067,18672,-0.5680000185966492
1675107994.501951,18772,-0.7749999761581421
1675108289.186611,18972,-0.847000002861023
1675108362.631013,19004,0.968999981880188
1675108449.770483,19068,0.9369999766349792
1675108608.256518,19168,-0.2619999945163727
1675108768.48498,19268,-0.22600001096725464
1675109089.44858,19468,-0.19900000095367432
1675109246.973478,19568,-0.2529999911785126
1675109773.022758,19922,0.9470000267028809
1675111405.582433,20503,-0.3880000114440918
1675111714.276686,20703,-0.4059999883174896
1675111875.828254,20803,-0.19900000095367432
1675111965.630317,20874,0.9300000071525574
1675112134.29307,20995,-0.24400000274181366
1675112203.013851,21017,0.9789999723434448
1675112521.48973,21217,-0.19900000095367432
1675112681.734179,21317,-0.19900000095367432
1675112695.926282,21347,0.9710000157356262
1675112855.827354,21447,-0.19900000095367432
1675113621.343094,21947,-0.22600001096725464
1675114519.770911,22100,-0.2800000011920929
1675114680.161569,22200,-0.20800000429153442
1675115153.482023,22500,-0.19900000095367432
1675115226.380591,22531,0.9699999690055847
1675115380.714643,22631,-0.32499998807907104
1675115534.361309,22731,-0.3610000014305115
1675115834.862928,22931,-0.4869999885559082
1675117016.709862,23698,-0.2800000011920929
1675117177.442719,23798,-0.19900000095367432
1675117480.33929,23965,0.9710000157356262
1675118342.810663,24100,-0.41499999165534973
1675118419.414181,24140,0.9610000252723694
1675118641.252292,24278,-0.5230000019073486
1675118954.232592,24478,-0.19900000095367432
1675119273.53179,24678,-0.19900000095367432
1675119432.542234,24778,-0.22600001096725464
1675119586.96261,24856,0.9509999752044678
1675119902.763411,25056,-0.19900000095367432
1675120062.802467,25156,-0.19900000095367432
1675120227.825334,25262,0.9300000071525574
1675121017.026093,25752,-0.19900000095367432
1675121154.074862,25852,-0.7300000190734863
1675121309.084683,25952,-0.32499998807907104
1675122188.156797,26100,-0.19900000095367432
1675122260.098843,26129,0.972000002861023
1675122945.474708,26561,-0.22600001096725464
1675123177.24053,26708,0.8190000057220459
1675123338.965951,26808,-0.19900000095367432
1675123475.012702,26908,-0.765999972820282
1675123634.860645,27008,-0.19900000095367432
1675123972.330656,27244,-0.19900000095367432
1675124132.345934,27344,-0.19900000095367432
1675124526.48806,27579,0.9660000205039978
1675124847.365208,27778,0.9020000100135803
1675125006.594012,27878,-0.23499999940395355
1675126082.451611,28144,-0.20800000429153442
1675126242.259736,28240,0.9390000104904175
1675126958.786983,28682,-0.20800000429153442
1675127107.100947,28782,-0.46000000834465027
1675127268.103812,28882,-0.19900000095367432
1675127423.000948,28982,-0.32499998807907104
1675128220.660654,29482,-0.22600001096725464
1675128381.280364,29582,-0.19900000095367432
1675128703.252199,29782,-0.19900000095367432
1675129015.592794,29972,0.9459999799728394
1675129897.445492,30100,-0.19900000095367432
1675130057.140236,30200,-0.20800000429153442
1675130211.759092,30300,-0.32499998807907104
1675130533.268498,30500,-0.19900000095367432
1675130751.558948,30644,0.9570000171661377
1675131064.770913,30844,-0.2980000078678131
1675131223.741842,30944,-0.22600001096725464
1675131302.152969,30988,0.9570000171661377
1675131439.013313,31088,-0.7389999628067017
1675131919.352365,31388,-0.19900000095367432
1675132239.479453,31588,-0.19900000095367432
1675132479.131558,31732,-0.19900000095367432
1675132639.036756,31832,-0.19900000095367432
1675132723.286839,31889,0.9440000057220459
1675132848.724195,31989,-1.0180000066757202
1675133720.826093,32100,-0.19900000095367432
1675133880.132171,32200,-0.21700000762939453
1675133954.03256,32233,0.9679999947547913
1675134723.475408,32739,0.9480000138282776
1675135111.586669,32978,0.9620000123977661
1675135269.224279,33078,-0.2529999911785126
1675136204.917726,33664,-0.19900000095367432
1675136364.375993,33764,-0.24400000274181366
1675136694.48021,33978,0.9549999833106995
1675137491.803644,34100,-0.9639999866485596
1675137648.543235,34200,-0.289000004529953
1675137798.64857,34300,-0.43299999833106995
1675137959.039479,34400,-0.19900000095367432
1675138118.908583,34500,-0.23499999940395355
1675138279.196607,34600,-0.19900000095367432
1675138440.048069,34700,-0.19900000095367432
1675138601.497149,34800,-0.19900000095367432
1675138733.399468,34900,-0.8919999599456787
1675138971.374509,35031,0.9699999690055847
1675139139.004665,35131,-0.19900000095367432
1675139446.007125,35307,-0.32499998807907104
1675140096.90688,35707,-0.24400000274181366
1675140242.719891,35807,-0.550000011920929
1675141516.461693,36164,-0.22600001096725464
1675141672.181978,36264,-0.3160000145435333
1675141752.718418,36312,0.953000009059906
1675141910.713433,36403,0.9099999666213989
1675142371.226469,36703,-0.21700000762939453
1675142774.694215,36978,-0.19900000095367432
1675142933.148982,37078,-0.24400000274181366
1675143436.813491,37378,-0.19900000095367432
1675143606.052364,37478,-0.19900000095367432
1675144271.292555,37878,-0.19900000095367432
1675144358.033109,37935,0.9440000057220459
1675145639.496744,38300,-0.2529999911785126
1675145801.596903,38400,-0.2619999945163727
1675145874.461501,38423,0.9779999852180481
1675146037.197981,38523,-0.23499999940395355
1675146120.709253,38590,0.7900000214576721
1675146211.621698,38642,0.9490000009536743
1675146376.162982,38742,-0.3070000112056732
1675146456.793045,38783,0.9599999785423279
1675146705.035229,38930,-0.19900000095367432
1675146866.34103,39030,-0.19900000095367432
1675147027.251128,39130,-0.19900000095367432
1675147037.204433,39150,0.9810000061988831
1675147438.285372,39398,-0.3970000147819519
1675147609.853091,39498,-0.19900000095367432
1675147689.750096,39541,0.9580000042915344
1675147847.769756,39620,0.921999990940094
1675147928.145484,39658,0.9359999895095825
1675148254.10433,39858,-0.2619999945163727
1675148432.065464,39988,-0.289000004529953
1675149387.608726,40134,0.9670000076293945
1675149549.048164,40234,-0.3880000114440918
1675149957.75271,40454,-0.21700000762939453
1675150125.233679,40554,-0.22600001096725464
1675150218.271882,40623,0.9319999814033508
1675150514.262101,40823,-0.9819999933242798
1675150682.18276,40929,0.9290000200271606
1675151341.302932,41329,-0.19900000095367432
1675151507.132927,41429,-0.19900000095367432
1675152000.615892,41729,-0.19900000095367432
1675152076.527099,41763,0.9670000076293945
1675152236.853244,41863,-0.2709999978542328
1675152318.572942,41909,0.9549999833106995
1675152406.592376,41970,0.9399999976158142
