Wall time,Step,Value
1676991653.045781,10513,-0.19900000095367432
1676991921.518423,10613,-0.289000004529953
1676992458.283543,10813,-0.4059999883174896
1676992728.267197,10913,-0.19900000095367432
1676992997.825745,11013,-0.19900000095367432
1676993247.17539,11113,-0.7389999628067017
1676994053.108581,11413,-0.21700000762939453
1676994317.215533,11513,-0.34299999475479126
1676995384.427183,11913,-0.2980000078678131
1676996629.743692,12100,-0.19900000095367432
1676997136.723357,12300,-0.9729999899864197
1676997389.934294,12400,-0.6489999890327454
1676997647.753156,12500,-0.6129999756813049
1676997919.817335,12600,-0.19900000095367432
1676998191.932246,12700,-0.19900000095367432
1676998711.706085,12854,-0.07200000435113907
1676999252.29449,13054,-0.2619999945163727
1676999524.158295,13154,-0.19900000095367432
1676999793.1706,13254,-0.2709999978542328
1677000061.591647,13354,-0.2709999978542328
1677000325.494419,13454,-0.35199999809265137
1677000564.109317,13554,-1.0
1677001093.441547,13754,-0.5049999952316284
1677001099.571408,13765,-0.01100000087171793
1677001240.498621,13829,-0.12700000405311584
1677001489.175156,13929,-0.7749999761581421
1677002559.156377,14100,-0.8379999995231628
1677003373.422379,14400,-0.20800000429153442
1677004449.859145,14800,-0.19900000095367432
1677004966.150221,15000,-0.5230000019073486
1677005207.82598,15100,-0.9459999799728394
1677005480.301988,15200,-0.19900000095367432
1677005723.003829,15300,-0.9099999666213989
1677005994.177134,15400,-0.22600001096725464
1677006494.758431,15600,-0.6759999990463257
1677006769.700946,15700,-0.19900000095367432
1677007037.10686,15800,-0.2980000078678131
1677007542.528819,16000,-0.45100000500679016
1677008723.574078,16200,-0.6669999957084656
1677009236.090285,16400,-0.46000000834465027
1677009508.767192,16500,-0.19900000095367432
1677009751.943019,16600,-0.8919999599456787
1677010278.61772,16800,-0.46000000834465027
1677010550.310979,16900,-0.20800000429153442
1677010815.849959,17000,-0.3070000112056732
1677011083.311074,17100,-0.3160000145435333
1677011351.902615,17200,-0.22600001096725464
1677011862.993704,17400,-0.45100000500679016
1677012136.001037,17500,-0.21700000762939453
1677012409.306661,17600,-0.19900000095367432
1677012679.685819,17700,-0.2709999978542328
