Wall time,Step,Value
1677096521.940033,100,-0.2800000011920929
1677096804.708491,300,-0.3970000147819519
1677096938.66826,400,-0.5320000052452087
1677097067.20036,500,-0.6759999990463257
1677097729.514105,1000,-0.4690000116825104
1677097863.100694,1100,-0.5410000085830688
1677098009.659626,1200,-0.2529999911785126
1677098278.116649,1400,-0.8740000128746033
1677098401.598921,1500,-0.7839999794960022
1677098530.81577,1600,-0.6489999890327454
1677098717.085078,1704,-0.004000000189989805
1677098790.489279,1776,-0.35999998450279236
1677098909.770028,1876,-0.8829999566078186
1677099759.591602,2100,-0.2529999911785126
1677099891.744533,2200,-0.5590000152587891
1677100292.7049,2500,-0.6850000023841858
1677100430.08603,2600,-0.46000000834465027
1677100557.549952,2700,-0.6850000023841858
1677100682.377636,2800,-0.7569999694824219
1677100812.157981,2900,-0.6669999957084656
1677101210.472958,3162,-0.19900000095367432
1677101357.644599,3262,-0.2619999945163727
1677101500.674225,3362,-0.33399999141693115
1677101747.197534,3562,-0.5139999985694885
1677101871.031896,3662,-0.8019999861717224
1677102001.463015,3762,-0.621999979019165
1677102082.807968,3825,0.9290000200271606
1677103667.42558,4535,-0.5320000052452087
1677103789.90828,4635,-0.8019999861717224
1677103938.637763,4735,-0.19900000095367432
1677104054.573659,4835,-0.9729999899864197
1677104181.862479,4935,-0.6940000057220459
1677104318.313481,5035,-0.4869999885559082
1677104465.887827,5135,-0.22600001096725464
1677104612.159879,5235,-0.2800000011920929
1677104738.816453,5335,-0.703000009059906
1677104871.94356,5435,-0.5590000152587891
1677105202.259275,5655,-0.6399999856948853
1677105333.014251,5760,-0.7479999661445618
1677105468.606365,5860,-0.4959999918937683
1677105615.759839,5960,-0.23499999940395355
1677106301.954656,6029,0.972000002861023
1677106507.908905,6157,0.9729999899864197
1677106521.986027,6195,-0.17299999296665192
1677106643.50779,6295,-0.8109999895095825
1677106767.521029,6395,-0.765999972820282
1677107033.927972,6595,-0.19900000095367432
1677107310.332234,6795,-0.19900000095367432
1677107593.825471,6995,-0.19900000095367432
1677107796.199069,7109,0.9869999885559082
1677107925.260467,7209,-0.6759999990463257
1677107935.351571,7224,0.9860000014305115
1677108084.000864,7324,-0.19900000095367432
1677108340.362741,7524,-0.9639999866485596
1677108477.884899,7624,-0.4779999852180481
1677108774.656739,7824,-0.19900000095367432
1677108846.738947,7864,0.9610000252723694
1677108993.211799,7964,-0.24400000274181366
1677109962.553271,8189,-0.2619999945163727
1677110026.285725,8210,-0.021000001579523087
1677110558.325613,8607,0.953000009059906
1677110701.30109,8742,-0.7569999694824219
1677111050.95671,8974,0.968999981880188
1677111335.220104,9162,-0.18700000643730164
1677111568.687929,9343,-0.21700000762939453
1677111643.715499,9390,0.9539999961853027
1677111928.353204,9590,-0.41499999165534973
1677112072.790944,9690,-0.33399999141693115
1677112219.290827,9790,-0.24400000274181366
1677112367.57133,9890,-0.21700000762939453
1677112507.426913,9990,-0.41499999165534973
1677113391.936165,10100,-0.5770000219345093
1677113533.762441,10200,-0.34299999475479126
1677113821.787775,10400,-0.4059999883174896
1677114252.936373,10700,-0.21700000762939453
1677114528.898676,10900,-0.703000009059906
1677114658.631968,11000,-0.6399999856948853
1677115103.243168,11300,-0.19900000095367432
1677115400.944052,11500,-0.19900000095367432
1677115539.260543,11566,0.9570000171661377
1677115689.278041,11666,-0.19900000095367432
1677115835.264449,11766,-0.2709999978542328
1677115847.048384,11785,0.9819999933242798
1677115856.740489,11799,0.9869999885559082
1677116002.962302,11899,-0.2619999945163727
1677116938.165478,12100,-0.289000004529953
1677117222.083852,12300,-0.22600001096725464
1677117352.197899,12358,0.925000011920929
1677117508.019168,12463,-0.19900000095367432
1677117803.041917,12663,-0.19900000095367432
1677118091.400236,12863,-0.45100000500679016
1677118235.171601,12963,-0.32499998807907104
1677118384.432242,13063,-0.19900000095367432
1677118528.906598,13163,-0.3070000112056732
1677118697.967315,13299,-0.19900000095367432
1677119337.583882,13745,-0.3880000114440918
1677119406.089213,13776,0.9699999690055847
1677120523.9725,14100,-0.7479999661445618
1677120589.163141,14124,0.9769999980926514
1677120736.721851,14224,-0.22600001096725464
1677121029.116,14424,-0.33399999141693115
1677121161.258452,14524,-0.5949999690055847
1677121231.740627,14560,0.9649999737739563
1677121395.211224,14685,-0.19900000095367432
1677121465.954821,14722,0.9639999866485596
1677121880.663374,15022,-0.7479999661445618
1677122028.473578,15122,-0.23499999940395355
1677122327.726472,15322,-0.19900000095367432
1677122395.294374,15351,0.972000002861023
1677122406.24383,15368,0.984000027179718
1677122546.039717,15468,-0.4059999883174896
