Wall time,Step,Value
1676999450.637737,100,-0.19900000095367432
1676999766.478123,300,-0.19900000095367432
1676999922.107914,400,-0.2709999978542328
1677000081.644615,500,-0.19900000095367432
1677000846.286312,1000,-0.19900000095367432
1677001004.823123,1100,-0.19900000095367432
1677001164.284027,1200,-0.19900000095367432
1677001641.314143,1500,-0.19900000095367432
1677001796.678255,1600,-0.2619999945163727
1677001956.782718,1700,-0.19900000095367432
1677002274.285295,1900,-0.19900000095367432
1677002432.750811,2000,-0.19900000095367432
1677003343.424956,2100,-0.19900000095367432
1677003652.440053,2300,-0.3880000114440918
1677003810.717945,2400,-0.19900000095367432
1677004288.360615,2700,-0.20800000429153442
1677004447.050927,2800,-0.19900000095367432
1677004599.380014,2900,-0.3700000047683716
1677004758.363204,3000,-0.19900000095367432
1677004907.135658,3100,-0.41499999165534973
1677005349.952438,3400,-0.6850000023841858
1677005507.759837,3500,-0.21700000762939453
1677005825.668644,3700,-0.20800000429153442
1677005901.091768,3739,0.9620000123977661
1677005969.992861,3762,0.9779999852180481
1677006119.216206,3862,-0.41499999165534973
1677006277.473971,3962,-0.20800000429153442
1677007993.713757,4635,-0.22600001096725464
1677008129.148002,4735,-0.7300000190734863
1677008289.098035,4835,-0.19900000095367432
1677008447.97849,4935,-0.19900000095367432
1677008606.5571,5035,-0.19900000095367432
1677008765.507507,5135,-0.19900000095367432
1677009083.656782,5335,-0.19900000095367432
1677009242.452488,5435,-0.19900000095367432
1677009551.72332,5614,-0.19900000095367432
1677009879.012583,5837,-0.19900000095367432
1677010037.851702,5937,-0.19900000095367432
1677010977.414112,6017,-0.017000000923871994
1677011135.077511,6116,-0.0990000069141388
1677011451.416915,6316,-0.20800000429153442
1677011611.32102,6416,-0.19900000095367432
1677011770.54458,6516,-0.19900000095367432
1677011850.202737,6565,-0.049000002443790436
1677012168.265642,6765,-0.19900000095367432
1677012328.295279,6865,-0.19900000095367432
1677012563.404437,7006,-0.19900000095367432
1677012820.601821,7200,-0.19900000095367432
1677013217.833167,7447,-0.19900000095367432
1677013359.428636,7547,-0.5859999656677246
1677013516.553791,7647,-0.2619999945163727
1677013673.35273,7747,-0.24400000274181366
1677013832.173561,7847,-0.19900000095367432
1677013975.159834,7909,0.9390000104904175
1677015060.243993,8200,-0.7120000123977661
1677015377.662447,8400,-0.19900000095367432
1677015770.247463,8637,-0.03700000047683716
1677016406.431138,9037,-0.19900000095367432
1677016541.105746,9137,-0.7479999661445618
1677016690.776027,9212,0.9259999990463257
1677017167.297554,9512,-0.19900000095367432
1677017327.090853,9612,-0.19900000095367432
1677017656.780401,9838,-0.19900000095367432
1677018890.280553,10132,-0.19900000095367432
1677019048.746297,10232,-0.19900000095367432
1677019207.565516,10332,-0.19900000095367432
1677019367.505754,10432,-0.19900000095367432
1677019519.619213,10516,0.9169999957084656
1677019677.956415,10616,-0.19900000095367432
1677019836.653706,10716,-0.19900000095367432
1677020471.930822,11116,-0.19900000095367432
1677020631.807601,11216,-0.19900000095367432
1677021107.939707,11516,-0.19900000095367432
1677021267.73092,11616,-0.19900000095367432
1677021668.394617,11870,-0.09400000423192978
1677021827.144659,11970,-0.19900000095367432
1677022806.08698,12083,-0.08300000429153442
1677022964.796316,12183,-0.19900000095367432
1677023123.365436,12283,-0.19900000095367432
1677023281.675888,12383,-0.19900000095367432
1677023441.414549,12483,-0.19900000095367432
1677023759.078941,12683,-0.19900000095367432
1677024542.147528,13154,-0.19900000095367432
1677024552.505447,13176,-0.02200000174343586
1677025030.206915,13476,-0.19900000095367432
1677025188.947473,13576,-0.19900000095367432
1677025260.503873,13602,0.9750000238418579
1677025343.765336,13660,-0.058000002056360245
1677025502.260725,13760,-0.19900000095367432
1677025823.561313,13966,0.9139999747276306
1677027556.907087,14542,-0.19900000095367432
1677027715.531524,14642,-0.19900000095367432
